theta,gamma,z_H,k,l,w,r,b,welfare,cv
0.11,0.42,3.0,3.389845232412756,0.3435981486427191,1.4590374316833397,0.02318785102266338,0.2260341988088392,-35.896132021434696,0.6028192571400474
0.0,0.42,3.0,4.596101540933528,0.36504448792578764,1.5929265434687334,0.011166311311146482,0.0,-37.41861180354324,0.6686155849328481
0.11,0.42,0.5,1.0599143497831105,0.1604676992410204,1.2628096924900205,0.047541796524136676,0.09136554222360507,-45.105433200161514,1.2625940683210553
0.0,0.42,0.5,1.3029507003970096,0.16895887844698465,1.3352201619956725,0.03739315678044523,0.0,-45.11374925851957,1.1067240921447346
0.11,1.0,3.0,7.4457925717269084,0.7541107398920206,1.4594568680234852,0.023145353498729204,0.49623031737684803,-23.160179193909514,0.610524278262056
0.0,1.0,3.0,10.454785968649977,0.7542270294540928,1.6490456317490383,0.006917875745979851,0.0,-25.753443945051046,0.7085559748648663
