24300	1	0	0	0	0	48	1	0	0	0	1	4	0	1	0	0	420
26500	1	0	0	0	0	73	1	0	0	0	0	3	0	1	0	0	101
45940	0	0	0	0	1	36	1	1	0	1	1	6	0	0	1	0	36546
21900	0	0	0	1	0	22	0	1	0	0	0	2	0	0	0	0	370
34300	0	0	1	0	0	65	0	1	0	0	0	6	0	0	0	0	620
65700	0	0	0	1	0	30	0	1	0	0	0	7	1	0	0	0	749
38000	0	0	0	0	1	33	0	0	0	0	1	5	0	0	0	0	16074
36560	0	1	0	0	0	29	0	1	0	1	0	4	1	0	0	0	0
30900	0	0	0	1	0	32	0	1	0	2	0	4	0	0	0	0	22482
25200	1	0	0	0	0	35	0	1	0	1	2	5	0	0	0	0	2439
42870	0	1	0	0	0	36	0	1	0	0	1	6	1	0	0	0	432
27900	0	0	0	1	0	44	0	1	0	0	1	5	1	0	0	0	61686
20388	0	0	1	0	0	40	0	1	0	0	2	4	0	0	0	0	6305
18646	0	1	0	0	0	33	0	1	0	0	3	5	0	0	0	0	5641
31280	0	0	1	0	0	36	0	1	0	0	1	3	0	0	0	0	216
41500	0	0	0	1	0	35	0	1	0	1	3	6	0	0	0	0	460
28674	0	1	0	0	0	42	0	1	0	0	4	6	0	0	0	0	360
33892	0	0	1	0	0	31	0	1	0	1	2	6	1	0	0	0	77
27900	0	0	0	0	0	78	1	0	1	0	1	7	0	1	0	0	2810
26000	0	0	1	0	0	39	0	1	0	0	1	4	0	0	0	0	3600
17176	0	0	1	0	0	59	1	1	0	0	4	11	0	0	1	0	66543
12120	0	1	0	0	0	24	1	0	0	1	1	3	0	0	0	0	235
56584	0	1	0	0	0	45	0	1	0	0	2	6	0	0	0	0	66
57740	1	0	0	0	0	59	0	1	0	0	0	6	0	1	0	0	3340
72530	0	0	1	0	0	54	0	1	0	0	2	4	1	0	0	0	0
16800	0	0	1	0	0	40	0	1	0	3	1	6	0	0	0	0	0
98259	0	0	0	0	1	31	0	1	2	0	0	9	1	0	0	0	1000
3140	1	0	0	0	0	37	1	1	0	1	4	8	0	1	1	0	0
30434	1	0	0	0	0	47	0	1	0	1	2	5	0	0	0	0	0
16960	0	1	0	0	0	22	0	1	0	2	0	4	0	0	0	0	1382
48608	0	1	0	0	0	54	0	1	0	2	1	10	0	0	0	0	264
1050	0	0	0	1	0	27	1	1	0	2	1	5	0	1	1	0	71756
34300	0	0	0	1	0	40	0	1	0	2	1	5	0	0	0	0	412
13669	0	0	0	1	0	35	0	1	0	2	2	6	0	0	0	0	42
22847	1	0	0	0	0	58	0	1	0	0	3	7	0	0	0	0	132
83890	0	0	1	0	0	65	0	1	0	2	0	6	0	0	0	0	-1630
85524	1	0	0	0	0	40	0	1	0	1	3	7	1	0	0	0	-376
21600	1	0	0	0	0	45	0	1	0	0	1	5	0	0	0	0	3225
32602	0	0	0	1	0	32	1	1	0	0	2	4	0	1	1	0	35970
25494	1	0	0	0	0	32	0	1	0	3	0	5	0	0	0	0	710
67496	1	0	0	0	0	41	1	1	0	1	0	4	0	1	1	0	14883
20626	0	0	0	0	1	29	1	1	0	0	0	2	0	0	1	0	119540
5323	0	0	0	1	0	27	1	1	0	2	2	6	0	1	1	0	66535
12162	1	0	0	0	0	30	0	1	0	2	2	6	0	0	0	0	2841
32101	0	0	1	0	0	44	0	0	0	0	0	4	0	0	0	0	6746
15765	0	0	0	0	0	44	1	0	0	1	1	6	0	0	0	0	3144
21800	0	0	0	1	0	38	0	1	0	0	2	4	0	0	0	0	4874
63526	0	0	1	0	0	41	0	1	0	0	3	8	1	0	0	0	-1550
50357	0	0	0	1	0	34	0	1	0	0	1	3	0	0	0	0	7350
