Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
-1.780335878720507e10,-4.843059286940843e9,-7.73070496506989e9,-2.2737367544323206e8,-7.185008144006133e9,1.20508047984913e9,-6.821210263296962e8,9.094947017729282e8,1.6825651982799172e9,-1.5916157281026244e9,-3.410605131648481e8,1.1368683772161603e8,-8.344613888766616e9,-1.0277290130034088e10,-4.592948243953287e9,-4.547473508864641e7,0.0
-4.843059286940843e9,-4.843059286940843e9,0.0,-6.59383658785373e8,-2.228262019343674e9,3.865352482534945e8,2.0463630789890885e8,2.2737367544323206e8,4.320099833421409e8,1.3642420526593924e8,2.728484105318785e8,9.094947017729282e7,-2.41016095969826e9,-2.569322532508522e9,-1.5916157281026244e9,-2.2737367544323206e7,0.0
-7.73070496506989e9,0.0,-7.707967597525566e9,-3.183231456205249e8,-2.955857780762017e9,6.59383658785373e8,9.094947017729282e7,3.410605131648481e8,7.275957614183426e8,-7.048583938740194e8,-8.86757334228605e8,-4.547473508864641e7,-3.5242919693700967e9,-4.342837200965733e9,-2.0691004465334117e9,0.0,0.0
-2.2737367544323206e8,-6.59383658785373e8,-3.183231456205249e8,-1.2596501619555056e10,-6.139089236967266e8,-1.4551915228366852e9,1.0004441719502211e9,-1.3869794202037156e9,-1.77351466845721e9,-1.114131009671837e9,-7.73070496506989e8,2.2737367544323206e8,-2.728484105318785e8,9.094947017729282e7,-7.275957614183426e8,5.911715561524034e8,-2.728484105318785e8
-7.185008144006133e9,-2.228262019343674e9,-2.955857780762017e9,-6.139089236967266e8,-7.185008144006133e9,1.1368683772161603e8,1.3642420526593924e8,3.410605131648481e8,1.0686562745831907e9,1.1596057447604835e9,-5.45696821063757e8,2.728484105318785e8,-3.2287061912938952e9,-3.54702933691442e9,-2.478373062331229e9,-2.2737367544323206e7,0.0
1.20508047984913e9,3.865352482534945e8,6.59383658785373e8,-1.4551915228366852e9,1.1368683772161603e8,-1.4210854715202003e10,-9.549694368615746e8,-2.34194885706529e9,-4.547473508864641e8,3.410605131648481e8,1.1368683772161603e8,4.320099833421409e8,6.366462912410498e8,6.821210263296962e7,1.3642420526593924e8,5.45696821063757e8,7.048583938740194e8
-6.821210263296962e8,2.0463630789890885e8,9.094947017729282e7,1.0004441719502211e9,1.3642420526593924e8,-9.549694368615746e8,-8.958522812463343e9,-1.0459189070388675e9,9.049472282640636e9,6.707523425575345e9,-2.0463630789890885e8,-5.0022208597511053e8,-2.091837814077735e9,-1.318767317570746e9,-1.091393642127514e9,1.2960299500264227e9,4.774847184307873e8
9.094947017729282e8,2.2737367544323206e8,3.410605131648481e8,-1.3869794202037156e9,3.410605131648481e8,-2.34194885706529e9,-1.0459189070388675e9,-2.9103830456733704e9,2.071374183287844e10,1.723492459859699e10,4.320099833421409e8,1.0004441719502211e9,0.0,-1.1368683772161603e8,-4.547473508864641e8,-2.2737367544323206e7,0.0
1.6825651982799172e9,4.320099833421409e8,7.275957614183426e8,-1.77351466845721e9,1.0686562745831907e9,-4.547473508864641e8,9.049472282640636e9,2.071374183287844e10,-1.5916157281026244e9,-3.637978807091713e8,-6.366462912410498e8,-1.0686562745831907e9,3.637978807091713e8,-5.0022208597511053e8,-1.1368683772161603e8,-2.2737367544323206e7,0.0
-1.5916157281026244e9,1.3642420526593924e8,-7.048583938740194e8,-1.114131009671837e9,1.1596057447604835e9,3.410605131648481e8,6.707523425575345e9,1.723492459859699e10,-3.637978807091713e8,-4.365574568510056e9,-5.684341886080801e8,-5.2295945351943374e8,-1.4551915228366852e9,-2.319211489520967e9,-5.684341886080801e8,-2.2737367544323206e7,0.0
